GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services",Estimate!!INDUSTRY!!Public administration
0500000US13019,"Berrien County, Georgia",14927,550,460,1151,229,1093,314,19,370,349,1253,380,437
0500000US13021,"Bibb County, Georgia",120146,393,3210,4767,1356,7385,3222,877,5365,5611,16051,6054,3704
0500000US13023,"Bleckley County, Georgia",10389,184,340,529,119,429,160,9,177,218,1301,272,543
0500000US13025,"Brantley County, Georgia",14167,233,870,526,218,497,849,42,177,556,1634,416,527
0500000US13027,"Brooks County, Georgia",12737,532,419,708,260,479,405,39,297,499,1810,202,359
0500000US13029,"Bryan County, Georgia",22713,87,1209,1478,309,1797,1159,108,606,1178,2909,1278,855
0500000US13031,"Bulloch County, Georgia",57700,525,2144,2864,598,3657,1441,313,1206,1681,9265,3321,903
0500000US13033,"Burke County, Georgia",17339,274,588,1378,150,1184,557,135,347,429,1899,446,453
0500000US13035,"Butts County, Georgia",19077,130,938,1312,330,1066,1276,166,315,757,1537,566,795
0500000US13037,"Calhoun County, Georgia",5417,394,85,299,73,276,93,12,69,123,529,237,160
0500000US13039,"Camden County, Georgia",38564,74,1131,1728,521,2539,1060,187,875,1895,3499,2378,3086
0500000US13043,"Candler County, Georgia",8431,351,382,523,82,571,341,97,352,247,702,422,302
0500000US13045,"Carroll County, Georgia",85887,400,4099,7343,1632,6004,3516,784,2429,3568,9647,3794,1819
0500000US13047,"Catoosa County, Georgia",50519,120,2156,4237,989,3279,2095,539,2232,2103,6389,2208,1007
0500000US13049,"Charlton County, Georgia",10711,97,472,509,107,520,420,16,218,226,669,256,529
0500000US13051,"Chatham County, Georgia",212684,470,7588,10351,2997,14868,7465,1686,6375,10386,27159,15015,7394
0500000US13053,"Chattahoochee County, Georgia",8948,59,84,102,45,199,131,30,162,118,369,267,291
0500000US13055,"Chattooga County, Georgia",20784,256,782,2742,114,782,426,99,368,451,1919,575,507
0500000US13057,"Cherokee County, Georgia",162242,529,8930,10442,3894,14649,4212,3372,8778,13621,19823,8888,3261
0500000US13059,"Clarke County, Georgia",98848,460,1918,3753,855,6259,1136,589,1550,4515,18946,7703,1911
0500000US13061,"Clay County, Georgia",2427,131,70,101,9,35,18,0,58,10,216,64,130
0500000US13063,"Clayton County, Georgia",194333,452,8740,9005,3745,12602,14792,2365,6359,11552,19888,11463,7390
0500000US13065,"Clinch County, Georgia",5236,206,210,532,2,222,176,16,112,51,655,265,212
0500000US13067,"Cobb County, Georgia",535522,900,24023,28871,12827,41926,18995,13647,28844,57323,65192,31685,12022
0500000US13069,"Coffee County, Georgia",32692,653,1055,2717,533,2233,1014,76,645,496,3395,1431,998
0500000US13071,"Colquitt County, Georgia",34438,1835,1496,3198,804,2005,753,153,807,1051,3952,1219,680
0500000US13073,"Columbia County, Georgia",95226,448,3908,6206,1352,6011,2612,1270,2953,6173,13888,4742,4444
0500000US13075,"Cook County, Georgia",12768,379,661,810,354,929,592,29,313,396,1703,437,442
0500000US13077,"Coweta County, Georgia",96688,390,3819,8813,1827,7553,6909,1141,3011,5648,9174,3980,3044
0500000US13079,"Crawford County, Georgia",10164,84,568,590,197,735,343,52,169,337,1296,271,387
0500000US13081,"Crisp County, Georgia",18001,414,485,1086,295,1110,526,40,399,620,1841,628,509
0500000US13083,"Dade County, Georgia",13621,198,750,1205,174,671,619,101,518,463,1551,523,246
0500000US13085,"Dawson County, Georgia",17813,129,669,1158,516,1408,560,135,706,1232,1411,1028,301
0500000US13087,"Decatur County, Georgia",21657,650,617,1207,329,1259,494,115,559,383,2700,895,677
