GEO_ID,NAME,B08015_001E,B08015_002E,B08015_003E
id,Geographic Area Name,"Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Male","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Female"
0500000US19025,"Calhoun County, Iowa",3735,1950,1785
0500000US19027,"Carroll County, Iowa",9265,4815,4450
0500000US19029,"Cass County, Iowa",5585,2935,2650
0500000US19031,"Cedar County, Iowa",8285,4195,4090
0500000US19033,"Cerro Gordo County, Iowa",19365,9700,9665
0500000US19035,"Cherokee County, Iowa",5235,2745,2490
0500000US19037,"Chickasaw County, Iowa",4895,2735,2155
0500000US19039,"Clarke County, Iowa",3690,1890,1800
0500000US19041,"Clay County, Iowa",7115,3625,3495
0500000US19043,"Clayton County, Iowa",7385,3860,3520
0500000US19045,"Clinton County, Iowa",20545,10885,9660
0500000US19047,"Crawford County, Iowa",6440,3440,3000
0500000US19049,"Dallas County, Iowa",31385,16645,14740
0500000US19051,"Davis County, Iowa",2650,1415,1230
0500000US19053,"Decatur County, Iowa",2910,1455,1450
0500000US19055,"Delaware County, Iowa",7660,3910,3750
0500000US19057,"Des Moines County, Iowa",15885,8055,7830
0500000US19059,"Dickinson County, Iowa",7290,3895,3395
0500000US19061,"Dubuque County, Iowa",41750,21280,20470
0500000US19063,"Emmet County, Iowa",4075,2020,2055
0500000US19065,"Fayette County, Iowa",7665,3730,3935
0500000US19067,"Floyd County, Iowa",6270,3185,3085
0500000US19069,"Franklin County, Iowa",4440,2360,2080
0500000US19071,"Fremont County, Iowa",2965,1500,1465
0500000US19073,"Greene County, Iowa",3685,1970,1710
0500000US19075,"Grundy County, Iowa",5175,2645,2530
0500000US19077,"Guthrie County, Iowa",4265,2210,2055
0500000US19079,"Hamilton County, Iowa",6225,3345,2880
0500000US19081,"Hancock County, Iowa",4540,2335,2205
0500000US19083,"Hardin County, Iowa",6700,3655,3045
0500000US19085,"Harrison County, Iowa",6090,3190,2900
0500000US19087,"Henry County, Iowa",7740,4060,3680
0500000US19089,"Howard County, Iowa",3950,2040,1910
0500000US19091,"Humboldt County, Iowa",4035,2135,1900
0500000US19093,"Ida County, Iowa",2880,1590,1295
0500000US19095,"Iowa County, Iowa",6935,3605,3330
0500000US19097,"Jackson County, Iowa",8265,4275,3990
0500000US19099,"Jasper County, Iowa",14290,7625,6665
0500000US19101,"Jefferson County, Iowa",5880,3275,2605
0500000US19103,"Johnson County, Iowa",52225,26565,25665
0500000US19105,"Jones County, Iowa",8410,4245,4165
0500000US19107,"Keokuk County, Iowa",4010,2020,1990
0500000US19109,"Kossuth County, Iowa",6480,3275,3205
0500000US19111,"Lee County, Iowa",14175,7550,6620
0500000US19113,"Linn County, Iowa",94655,49010,45645
0500000US19115,"Louisa County, Iowa",4490,2250,2240
0500000US19117,"Lucas County, Iowa",3100,1655,1445
0500000US19119,"Lyon County, Iowa",4760,2560,2200
0500000US19121,"Madison County, Iowa",6460,3405,3060
0500000US19123,"Mahaska County, Iowa",8665,4690,3975
0500000US19125,"Marion County, Iowa",13480,7175,6305
0500000US19127,"Marshall County, Iowa",15710,8190,7520
0500000US19129,"Mills County, Iowa",5890,3185,2710
0500000US19131,"Mitchell County, Iowa",4080,2190,1890
0500000US19133,"Monona County, Iowa",3355,1765,1590
0500000US19135,"Monroe County, Iowa",3085,1610,1475
0500000US19137,"Montgomery County, Iowa",3900,1980,1920
0500000US19139,"Muscatine County, Iowa",17855,9745,8110
0500000US19141,"O'Brien County, Iowa",5485,2800,2685
0500000US19143,"Osceola County, Iowa",2680,1365,1320
0500000US19145,"Page County, Iowa",5920,2915,3005
0500000US19147,"Palo Alto County, Iowa",3755,1940,1815
0500000US19149,"Plymouth County, Iowa",11265,5795,5470
0500000US19151,"Pocahontas County, Iowa",2790,1405,1385
0500000US19153,"Polk County, Iowa",195700,100375,95325
0500000US19155,"Pottawattamie County, Iowa",40735,20405,20330
0500000US19157,"Poweshiek County, Iowa",7205,3695,3510
0500000US19159,"Ringgold County, Iowa",1835,960,875
0500000US19161,"Sac County, Iowa",4290,2235,2055
0500000US19163,"Scott County, Iowa",72110,37255,34855
0500000US19165,"Shelby County, Iowa",4940,2490,2445
0500000US19167,"Sioux County, Iowa",13585,7390,6195
0500000US19169,"Story County, Iowa",36695,19480,17215
0500000US19171,"Tama County, Iowa",6900,3475,3420
0500000US19173,"Taylor County, Iowa",2440,1235,1205
0500000US19175,"Union County, Iowa",5225,2595,2630
0500000US19177,"Van Buren County, Iowa",2630,1335,1295
0500000US19179,"Wapello County, Iowa",13585,7135,6445
0500000US19181,"Warren County, Iowa",20810,10715,10090
0500000US19183,"Washington County, Iowa",8815,4655,4165
0500000US19185,"Wayne County, Iowa",2210,1100,1110
0500000US19187,"Webster County, Iowa",15290,7900,7390
0500000US19189,"Winnebago County, Iowa",4425,2305,2125
0500000US19191,"Winneshiek County, Iowa",7865,4025,3835
0500000US19193,"Woodbury County, Iowa",43015,22270,20745
0500000US19195,"Worth County, Iowa",3250,1780,1475
0500000US19197,"Wright County, Iowa",5170,2700,2470
0500000US20001,"Allen County, Kansas",5480,2705,2775
0500000US20003,"Anderson County, Kansas",3040,1715,1325
0500000US20005,"Atchison County, Kansas",6115,3100,3020
0500000US20007,"Barber County, Kansas",2140,1170,970
0500000US20009,"Barton County, Kansas",11850,6300,5555
0500000US20011,"Bourbon County, Kansas",5595,2875,2720
0500000US20013,"Brown County, Kansas",3745,1850,1895
0500000US20015,"Butler County, Kansas",27670,15020,12650
0500000US20017,"Chase County, Kansas",925,435,490
0500000US20019,"Chautauqua County, Kansas",1230,705,525
