year,state,state_po,county_name,county_fips,office,candidate,party,demVotes,repVotes,totalvotes
2012,CALIFORNIA,CA,SANTA CLARA,6085,PRESIDENT,BARACK OBAMA,DEMOCRAT,450818,192273,643091
2012,CALIFORNIA,CA,SANTA CLARA,6085,PRESIDENT,MITT ROMNEY,REPUBLICAN,174843,468248,643091
2012,CALIFORNIA,CA,SANTA CRUZ,6087,PRESIDENT,MITT ROMNEY,REPUBLICAN,24047,96048,120095
2012,CALIFORNIA,CA,SHASTA,6089,PRESIDENT,MITT ROMNEY,REPUBLICAN,48067,28268,76335
2012,CALIFORNIA,CA,SIERRA,6091,PRESIDENT,MITT ROMNEY,REPUBLICAN,1056,739,1795
2012,CALIFORNIA,CA,SISKIYOU,6093,PRESIDENT,MITT ROMNEY,REPUBLICAN,11077,8833,19910
2012,CALIFORNIA,CA,SOLANO,6095,PRESIDENT,BARACK OBAMA,DEMOCRAT,96783,55661,152444
2012,CALIFORNIA,CA,SONOMA,6097,PRESIDENT,BARACK OBAMA,DEMOCRAT,153942,62566,216508
2012,CALIFORNIA,CA,STANISLAUS,6099,PRESIDENT,BARACK OBAMA,DEMOCRAT,77724,77645,155369
2012,CALIFORNIA,CA,SUTTER,6101,PRESIDENT,BARACK OBAMA,DEMOCRAT,12192,18834,31026
