GEO_ID,NAME,DP03_0026E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E
id,Geographic Area Name,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over
0500000US13077,"Coweta County, Georgia",59680,503,4137,7565,1495,6800,5510,1533,3266,5366,10712,5225,3840,3728,59680
0500000US13089,"DeKalb County, Georgia",330499,629,16640,21329,7117,36616,18997,11437,22760,52591,80859,28130,14406,18988,330499
0500000US13095,"Dougherty County, Georgia",33850,545,1563,2797,748,3748,1168,1237,1314,2741,9327,4247,2287,2128,33850
0500000US13097,"Douglas County, Georgia",60086,50,3903,4259,2230,7252,5218,1994,3686,8699,11325,4918,4192,2360,60086
0500000US13113,"Fayette County, Georgia",50953,224,2678,5178,1088,6101,7082,1131,2600,6258,10504,3411,1511,3187,50953
0500000US13115,"Floyd County, Georgia",37858,73,3081,7395,837,3843,1539,554,1744,2318,9821,3805,972,1876,37858
0500000US13117,"Forsyth County, Georgia",86906,436,4255,8248,3422,12145,2736,4613,8016,16241,15699,5661,3608,1826,86906
0500000US13121,"Fulton County, Georgia",459077,777,16742,32528,11585,41417,29028,17323,36120,98454,95919,45192,18781,15211,459077
0500000US13127,"Glynn County, Georgia",36464,366,2499,2167,1170,5111,1396,180,1840,3287,8016,5502,2401,2529,36464
0500000US13135,"Gwinnett County, Georgia",390995,499,29483,36119,10468,53175,17126,12349,32614,53541,71735,37620,24287,11979,390995
