GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration
0500000US46037,"Day County, South Dakota",4642,425,155,290,94,334,116,45,162,103,609,255,111,118
0500000US46039,"Deuel County, South Dakota",3462,429,169,406,37,188,137,100,69,77,447,121,103,48
0500000US46041,"Dewey County, South Dakota",3764,376,180,6,26,119,93,12,40,38,565,77,42,446
0500000US46043,"Douglas County, South Dakota",2465,360,74,145,76,129,50,19,50,22,397,47,81,78
0500000US46045,"Edmunds County, South Dakota",3243,436,78,101,75,181,175,28,102,118,388,112,90,72
0500000US46047,"Fall River County, South Dakota",5852,341,111,59,22,237,164,77,74,122,857,418,191,337
0500000US46049,"Faulk County, South Dakota",1905,342,68,45,32,97,39,15,23,8,246,53,54,29
0500000US46051,"Grant County, South Dakota",5943,577,245,411,91,614,254,73,259,99,719,286,556,85
0500000US46053,"Gregory County, South Dakota",3457,434,204,72,21,234,83,23,118,61,568,87,130,60
0500000US46055,"Haakon County, South Dakota",1566,265,101,91,48,126,71,13,31,12,148,30,29,35
0500000US46057,"Hamlin County, South Dakota",4248,369,264,443,164,210,151,40,115,83,631,113,90,66
0500000US46059,"Hand County, South Dakota",2796,505,89,93,57,191,91,15,55,74,371,72,156,75
0500000US46061,"Hanson County, South Dakota",2374,311,108,155,40,116,45,28,90,56,339,79,77,97
0500000US46063,"Harding County, South Dakota",1012,314,57,0,4,25,23,6,7,11,109,51,13,30
0500000US46065,"Hughes County, South Dakota",13189,348,588,181,285,1102,389,231,657,537,1842,1029,283,2197
0500000US46067,"Hutchinson County, South Dakota",5876,645,154,410,120,370,153,21,200,131,895,118,179,104
0500000US46069,"Hyde County, South Dakota",1180,147,54,55,26,88,11,35,27,4,149,7,9,78
