GEO_ID,NAME,CP05_2007_2011_001E,CP05_2007_2011_002E,CP05_2007_2011_003E,CP05_2007_2011_004E,CP05_2007_2011_005E,CP05_2007_2011_006E,CP05_2007_2011_007E,CP05_2007_2011_008E,CP05_2007_2011_009E,CP05_2007_2011_010E,CP05_2007_2011_011E,CP05_2007_2011_012E,CP05_2007_2011_013E,CP05_2007_2011_014E,CP05_2007_2011_015E,CP05_2007_2011_016E,CP05_2007_2011_032E,CP05_2007_2011_033E,CP05_2007_2011_034E,CP05_2007_2011_039E,CP05_2007_2011_047E,CP05_2007_2011_052E
id,Geographic Area Name,2007-2011 Estimates!!SEX AND AGE!!Total population,2007-2011 Estimates!!SEX AND AGE!!Total population!!Male,2007-2011 Estimates!!SEX AND AGE!!Total population!!Female,2007-2011 Estimates!!SEX AND AGE!!Under 5 years,2007-2011 Estimates!!SEX AND AGE!!5 to 9 years,2007-2011 Estimates!!SEX AND AGE!!10 to 14 years,2007-2011 Estimates!!SEX AND AGE!!15 to 19 years,2007-2011 Estimates!!SEX AND AGE!!20 to 24 years,2007-2011 Estimates!!SEX AND AGE!!25 to 34 years,2007-2011 Estimates!!SEX AND AGE!!35 to 44 years,2007-2011 Estimates!!SEX AND AGE!!45 to 54 years,2007-2011 Estimates!!SEX AND AGE!!55 to 59 years,2007-2011 Estimates!!SEX AND AGE!!60 to 64 years,2007-2011 Estimates!!SEX AND AGE!!65 to 74 years,2007-2011 Estimates!!SEX AND AGE!!75 to 84 years,2007-2011 Estimates!!SEX AND AGE!!85 years and over,2007-2011 Estimates!!RACE!!One race!!White,2007-2011 Estimates!!RACE!!One race!!Black or African American,2007-2011 Estimates!!RACE!!One race!!American Indian and Alaska Native,2007-2011 Estimates!!RACE!!One race!!Asian,2007-2011 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander,2007-2011 Estimates!!RACE!!One race!!Some other race
0500000US48239,"Jackson County, Texas",14002,48.5,51.5,7.8,6.8,6.9,7.2,5.3,10.9,11.8,14.7,7.2,5.5,8.2,6,1.6,77,8,0.1,0,0,12.9
0500000US48241,"Jasper County, Texas",35538,49.1,50.9,6.8,7.5,6.3,7,4.9,11.3,12.8,14.1,6.2,6.8,9.2,5.9,1.4,80,16.4,0.6,0.6,0.1,1.1
0500000US48245,"Jefferson County, Texas",250714,51.1,48.9,6.8,6.5,6.6,7.2,7.6,14,12.7,14.8,6.1,4.9,6.4,4.6,1.7,54.2,33.7,0.3,3.4,0.1,6.6
0500000US48247,"Jim Hogg County, Texas",5231,58.1,41.9,9.5,7.1,5.3,6.5,13,11.1,10.8,11.8,3.8,7.7,9,3.5,1,87.4,1.1,0.8,0,0,8.7
0500000US48249,"Jim Wells County, Texas",40821,49.8,50.2,8.3,7.1,8.8,8.4,6.3,11.7,12.2,13.3,6.2,4.8,7,4.4,1.4,89.5,0.5,0.3,0.5,0,7.6
0500000US48251,"Johnson County, Texas",149681,50.1,49.9,7.2,7.6,7.8,7.5,5.9,12.7,14,14.8,6.5,4.8,6.8,3.4,1.1,92.1,2.8,0.7,0.7,0.2,2
0500000US48253,"Jones County, Texas",20140,61.4,38.6,4.3,4.6,6.1,5.9,6.4,16.4,15.5,16,6.7,4.7,7.2,4.4,1.7,77.8,14,0.5,0.8,0,5.7
0500000US48255,"Karnes County, Texas",14873,60,40,5.4,4.8,5.8,5.4,8.1,18.2,13.8,14,6.1,4.5,6.7,5.3,1.8,64.8,9.3,0.7,0.7,0.4,21.8
0500000US48257,"Kaufman County, Texas",101197,49.2,50.8,7.5,7.9,8.5,7.3,5.5,12.9,14.7,14.6,6.2,4.6,6.2,3.1,0.9,83.6,10,0.5,0.6,0.2,2.6
0500000US48259,"Kendall County, Texas",32642,49.5,50.5,5.3,6.3,7.8,6.8,4.6,8.4,13.1,16.2,7.4,7.9,9.1,4.5,2.5,93.8,1.3,0.1,0.6,0,3.2
0500000US48265,"Kerr County, Texas",49216,48.3,51.7,5.3,5.6,5.7,6.3,5.7,8.9,10,13.6,7.2,7,12.5,8.6,3.6,91.8,2,0.5,1.1,0.1,2.7
0500000US48273,"Kleberg County, Texas",31823,51,49,7.5,6.7,6.1,9.8,13.2,13.4,11,11.5,4.5,4.9,6.2,3.3,1.8,84.8,4,0.5,2.4,0.1,6.7
0500000US48277,"Lamar County, Texas",49681,48.2,51.8,6.5,6.6,6.9,7.6,6.2,10.4,13.2,13.8,6.4,5.9,9.3,5.3,1.9,81.5,13.4,1,0.6,0.1,1.2
0500000US48279,"Lamb County, Texas",14063,50,50,8.7,6.6,9.3,8,5.7,11.4,11,13.1,5.4,5.1,8.6,5,2.3,89.1,4.4,0.4,0,0,4.2
0500000US48281,"Lampasas County, Texas",19762,49.2,50.8,6.8,6.6,7.5,6.8,5.7,9,14.8,14.7,6.8,6.1,8.6,4.7,2.1,89.1,3.9,1.3,0.7,0.1,2.6
0500000US48283,"La Salle County, Texas",6800,55,45,6.4,4.7,8.7,9.5,7.7,15.5,14.6,9.5,5.3,5,7.4,5.3,0.5,84.4,1.2,1.5,0.3,0,11.3
